age,numr,knowlgbtq
18,310,158
19,221,118
20,217,120
21,255,131
22,301,168
23,330,180
24,355,188
25,395,217
26,350,189
27,376,222
28,377,211
29,365,188
30,473,271
31,412,230
32,472,266
33,497,292
34,493,283
35,468,267
36,460,271
37,438,260
38,520,302
39,460,237
40,665,362
41,457,264
42,619,349
43,518,284
44,525,284
45,627,372
46,553,316
47,617,354
48,521,306
49,564,315
50,666,359
51,505,287
52,558,300
53,514,255
54,515,293
55,526,271
56,490,239
57,549,284
58,430,208
59,405,210
60,471,214
61,357,181
62,385,162
63,311,125
64,298,121
65,386,150
66,287,96
67,272,78
68,278,98
69,232,81
70,325,93
71,229,68
72,273,74
73,229,55
74,199,51
75,244,57
76,184,54
77,195,24
78,169,33
79,137,20
80,223,28
81,125,25
82,139,25
83,103,14
84,88,6
85,72,10
86,61,7
87,43,3
88,36,5
90,26,5
91,20,3
92,11,2
93,10,1
94,5,1
95,2,1
96,3,1
